,Rank,Job role,Experience Level,Experience detail,Job description,Industry,City,Post Code,Pay total,Pay per hour,Start date,Shift
146,149,Service Gastronomie,Ungelernt mit >20 Monaten Erfahrung,Personen ohne eidgenössisches Fähigkeitszeugnis (EFZ) als Spezialist für Gastronomie mit mehr als 20 Monaten Erfahrung oder Personen mit eidgenössischem Berufsattest (EBA) und weniger als drei Jahren Berufserfahrung im Referenzsektor.,"Möchten Sie Teil eines erfolgreichen Teams in einem renommierten Restaurant werden? sucht derzeit freundliche und engagierte Servicemitarbeiter/innen.

Als Servicemitarbeiter/in sind Sie verantwortlich für die Bedienung der Gäste, das Aufnehmen von Bestellungen, das Servieren von Speisen und Getränken sowie die Gewährleistung eines einwandfreien Kundenservice-Erlebnisses. Zu Ihren Aufgaben gehören auch das Abräumen der Tische, das Kassieren und die Sauberkeit des Arbeitsbereichs.

Wir suchen motivierte Personen mit einer Leidenschaft für die Gastronomie und einem freundlichen Auftreten. Erfahrung in der gehobenen Gastronomie ist von Vorteil, aber keine Voraussetzung. Wir bieten auch Schulungen und Weiterbildungsmöglichkeiten für interessierte Bewerber/innen.

Wenn Sie gerne in einem dynamischen und professionellen Umfeld arbeiten und Spaß am Umgang mit Menschen haben, dann bewerben Sie sich jetzt bei ! Wir bieten wettbewerbsfähige Gehälter und eine angenehme Arbeitsatmosphäre.

Bitte senden Sie Ihren Lebenslauf und ein Anschreiben auf Deutsch an unsere Kontaktperson Frau Meier unter [Emailadresse].

Wir freuen uns darauf, von Ihnen zu hören und Sie in unserem Team willkommen zu heißen!",Gastronomie / Hotel,Rapperswil-Jona,8640,360.0,30.0,23 Aug 2023,3
147,150,Service Gastronomie,Ungelernt,Servicemitarbeiter/in mit Freude am Bedienen und am Umgang mit Gästen. Teamfähigkeit ist Voraussetzung.,Allrounder für Burger King,Gastronomie / Hotel,Münsingen,3110,1900.8,26.4,23 Aug 2023,8
148,151,Spülküchen-Mitarbeiter/in mit Erfahrung,,,"Wir suchen dich als Unterstützung!

Deine Aufgaben:
Geschirrwagen austauschen, abräumen und reinigen
Spülküche bedienen
Hohes Arbeitsvolumen 
Körperliche Fitness ist wichtig

Einsatzzeiten können +/- 1h variieren.

Wir freuen uns auf deine Bewerbung.",Gastronomie / Hotel,Bern,3030,325.08,24.08,23 Aug 2023,3
149,152,Service Gastronomie,Ungelernt,Servicemitarbeiter/in mit Freude am Bedienen und am Umgang mit Gästen. Teamfähigkeit ist Voraussetzung.,Allrounder für Burger King,Gastronomie / Hotel,Münsingen,3110,2138.4,26.4,23 Aug 2023,9
150,153,Service Gastronomie,Ungelernt,Servicemitarbeiter/in mit Freude am Bedienen und am Umgang mit Gästen. Teamfähigkeit ist Voraussetzung.,"- Gäste begrüssen
- Tische abräumen und sauber halten 
- Gepflegter und bestimmter Auftritt",Gastronomie / Hotel,Zürich,8001,1418.33,25.0,23 Aug 2023,11
151,154,Service Gastronomie,Ungelernt,Servicemitarbeiter/in mit Freude am Bedienen und am Umgang mit Gästen. Teamfähigkeit ist Voraussetzung.,"Für die Neueröffnung eines neues Standortes, suchen wir noch Unterstützung. Danach wirst du in den Pool aufgenommen, wenn es für beide Seiten passt und du erhältst regelmässige Einsätze.

DAS BRINGST DU MIT:
• LUST AUF GASTRONOMIE und vielleicht sogar schon Erfahrung darin
• Echten TEAMGEIST
• Du bist aufgeschlossen und BEGEISTERUNGSFÄHIG.
• EINSATZFREUDE: Du packst gern mit an.
• SERVICEorientierung und Flexibilität

 DEINE AUFGABEN: 
• Du bist GASTGEBER*IN: Du bist für unsere Gäste da, nimmst Bestellungen auf, servierst Speisen, erstellst Rechnungen und kassierst ab.
• Außerdem bist Du Glücksberater*in! Denn Du empfiehlst unsere Speisen und Getränke und berätst unsere Gäste.
• Du bereitest alles für den Service vor (Mise en Place) und stellst sicher, dass der Gastraum immer einladend und sauber ist.

Spezielles:
- 50% auf Essen, Getränke sind Kostenlos
- Mikrowelle vorhanden",Gastronomie / Hotel,Oftringen,4665,2856.0,25.5,23 Aug 2023,16
152,155,Service Gastronomie,Ungelernt,Servicemitarbeiter/in mit Freude am Bedienen und am Umgang mit Gästen. Teamfähigkeit ist Voraussetzung.,"Wichtig: Bitte Anhang lesen vor Arbeitsantritt, erhält wichtig Informationen zum Unternehmen und zum Konzept. 

Du bist eine aufgestellte und herzliche Persönlichkeit, welche aus Leidenschaft Gastgeber ist. Mit viel Freude und Engagement verwöhnst du unsere Gäste, behältst den Überblick und hast immer ein Lächeln im Gesicht. 

Dein Einsatz wird in der Gästebetreuung im Restaurant sein. Du begrüsst, betreust und verabschiedest unsere Gäste und sorgst mit deiner charmanten Art für einen unvergesslichen Aufenthalt. Zu deinen Aufgaben gehören die Buffetpflege, eine saubere und aufgefüllte Station sowie eine super Teamarbeit in unserem Selfservice Restaurant. 

Die angegebene Einsatzzeit kann +/- um eine Stunde variieren, abhängig vom Gästevolumen.",Gastronomie / Hotel,Basel,4051,202.13,24.5,23 Aug 2023,2
153,156,Fachmann/frau Gesundheit EFZ (angepasste Ausbildungen),Gelernt,Die Ausbildungsnachweise (Zertifikate / Diplome) müssen auf dem Coople-Account hinterlegt sein. Die NAREG-Nr. ist im Lebenslauf zu erwähnen.,"Die Zeiten sind Fiktiv, du wirst von Coople Kontaktiert bevor du Angestellt wirst.

DEINE AUFGABEN
Begleitung der Bewohnenden entsprechend ihren Bedürfnissen und Fähigkeiten
Pflege und Betreuung der Bewohnenden in ihren alltäglichen Verrichtungen
Begleitung der Bewohnenden in ihren individuellen Tagesabläufen, bei Wohnen und Freizeit
Wahrnehmung der individuellen Bedürfnisse der Bewohnenden
Bezugspersonenarbeit und pflegen von Kontakten mit Angehörigen und gesetzlichen Vertretern

DEIN PROFIL
Abgeschlossene Ausbildung als Fachfrau/-mann Betreuung EFZ oder Fachfrau/-mann Gesundheit EFZ oder Dipl. Pflegefachpersonen
Hohe Sozialkompetenz, Selbstkompetenz und Reflexionsfähigkeit
Grosse Motivation, Verantwortungsbewusstsein und Offenheit für Neues",Gesundheitswesen,Bärau,3552,5376.0,40.0,23 Aug 2023,16
154,157,Spülküchen-Mitarbeiter/in mit Erfahrung,,,"In einer Privatbank suchen wir 1 Spüler für verschiedene Einsätze

Als Uniform erhältst Du ein ein -T-Shirt.
Arbeitskleidung von Dir: Rutschfeste Schuhe, Arbeitshose

Bitte einen gültigen Ausweis /Pass mitnehmen für den Einlass bei der Bank.",Gastronomie / Hotel,Zürich,8001,104.0,26.0,23 Aug 2023,1
155,158,Service Gastronomie,Gelernt,"Personen mit eidgenössischem Fähigkeitsausweis (EFZ) als Restaurationsfachmann/frau, einer mindestens dreijährigen beruflichen Grundbildung in der auszuübenden Tätigkeit oder Personen mit einer Attestlehre (EBA) und mindestens drei Jahren Berufspraxis in der auszuübenden Tätigkeit.","Mithilfe beim Bankett und a la carte Service, gelernt oder mit mehrere Jahren Erfahrung in der gehobene Gastronomie.",Gastronomie / Hotel,Schönenberg,8824,1615.0,38.0,23 Aug 2023,5
156,159,Koch/Köchin,Ungelernt,Hobby-Koch/Köchin mit Freude am Kochen und an der Verarbeitung von Lebensmitteln. Teamfähigkeit ist Voraussetzung.,"Büffet auffüllen, Mise en Place, Qualitätskontrolle",Gastronomie / Hotel,Zürich,8001,468.6,28.4,23 Aug 2023,2
157,160,Service Gastronomie,Gelernt,"Personen mit eidgenössischem Fähigkeitsausweis (EFZ) als Restaurationsfachmann/frau, einer mindestens dreijährigen beruflichen Grundbildung in der auszuübenden Tätigkeit oder Personen mit einer Attestlehre (EBA) und mindestens drei Jahren Berufspraxis in der auszuübenden Tätigkeit.","Sie haben eine Leidenschaft für die Gastronomie und lieben es, Gäste zu begeistern? Dann haben wir die perfekte Stelle für Sie! - sucht derzeit einen Chef de Rang.

Als Chef de Rang sind Sie für den Empfang, die Platzierung, Betreuung, Beratung und Verabschiedung unserer Gäste verantwortlich. Sie führen eigenständig eine Service-Station und gewährleisten einen reibungslosen Serviceablauf. Dazu gehört auch die Erstellung der Mise en place und das Durchführen von Reinigungsarbeiten.

Wir suchen jemanden mit folgenden Anforderungen:
- Deutsch (fließend), Italienisch (von Vorteil), Englisch (von Vorteil)
- Sie sind ein extrovertiertes Verkäufertalent, das Spaß daran hat, Gäste zu begeistern
- Sie sind dynamisch und serviceorientiert
- Sie sind ein Gastgeber mit Leib und Seele
- Sie legen Wert auf gute Umgangsformen und ein gepflegtes Äußeres

Bei - bieten wir Ihnen nicht nur eine spannende und abwechslungsreiche Tätigkeit, sondern auch eine attraktive Vergütung und die Möglichkeit zur Weiterentwicklung. Werden Sie Teil unseres Teams und erleben Sie die Faszination der Gastronomie!

Bewerben Sie sich noch heute und freuen Sie sich auf Ihren neuen Job als Chef de Rang bei - .",Gastronomie / Hotel,Zürich,8005,102.83,29.38,23 Aug 2023,1
158,161,Pflegehelfer/in SRK,Ungelernt mit >20 Monaten Erfahrung,Das Zertifikat des Pflegehelferkurses muss auf dem Coople-Account hinterlegt sein. Der Nachweis über >20 Monate Praxiserfahrung in der auszuübenden Tätigkeit (20 Monate bei 100%-Beschäftigung) muss im CV aufgeführt sein.,"Betreuung und Pflege;
Es ist eine Person für dieselben Einsätze pro Monat gewünscht.

Mitarbeit bei der Umsetzung der Pflege- und Betreuungsmassnahmen gemäss bestehendem Pflegeauftrag sowie der RAI-Zielvereinbarung bei den zugeteilten Bewohnenden mit 
Unterstützung und Beratung von bzw. in Delegation des Fachpersonals
 Mitarbeit bei der RAI-Einstufung und Umsetzung im Pflegealltag (gemäss der Rollenbeschreibung)
Umsetzen der Pflege- und Betreuungsmassnahmen gemäss Funktionendiagramm
 Zeigt eine konstruktive Zusammenarbeit mit Angehörigen gemäss Bezugspersonen System
 Setzt bestehende Konzepte, Richtlinien und Weisungen um
Setzen die Leitgedanken aus dem Leitbild und die Konzepte im Alltag um

Lebensumfeld und Alltagsgestaltung
 Plant und gestaltet ressourcenorienterte Beschäftigungsangebote in Absprache mit dem 
Fachpersonal
Verantwortung für die Gestaltung eines wohnlichen Umfeldes / einer wohnlichen Atmosphäre im Team
Unterstützt die Bewohnenden situationsangepasst bei der Gestaltung der privaten Räume 
und bei der Pflege privater Materialen und Mobiliar Fachgerechte Reinigung von Geräten und Hilfsmitteln

Administration / Organisation
 Mitverantwortung zur Gewährleistung des Informationsflusses (holt sich aktiv Informationen, leitet Informationen an Mitarbeitende und Vorgesetzte weiter)
 Kennt die im Bereich verwendeten EDV-Systeme und wendet diese fachgerecht an
 Teilnahme und aktive Mitarbeit an bereichsspezifischen Rapporten, Sitzungen, Fallbesprechungen
 Mitverantwortung für eine konstruktive Zusammenarbeit im Team

Erwartung:
gepflegte und kurze Nägel und sauberes Auftreten",Gesundheitswesen,Tobel-Tägerschen,9555,1730.4,30.9,23 Aug 2023,7
159,162,Verkaufsmitarbeiter/in / Detailhandel,Ungelernt,"Verkaufsmitarbeiter/in mit Freude am Verkauf und am Umgang mit Kunden. Erste Erfahrungen im Verkauf sind von Vorteil, aber nicht zwingend.","Unterstützung im Verkauf mit Fokus auf den Etagenservice

Aufgabenbereich:
* Begrüssung der Kunden
* Proaktiver Verkauf, auf Aktionen aufmerksam machen und Alternative anbieten
* Style-Beratung und Empfehlung
* Sicherstellung Sauberkeit / Ordnung im zugeteilten Bereich
* Artikel auffüllen, Grössenverfügbarkeit gewährleisten

Ihr Profil:
* Sehr gute Deutschkenntnisse
* Textilkenntnisse erwünscht
* Offen und kommunikativ
* Gutes Einfühlungsvermögen
* Gepflegtes Erscheinungsbild
* Speditiv
* Belastbar
* Hohe Konzentrationsfähigkeit
* Gutes Auffassungsgabe
* Aufmerksam
* Nach Möglichkeit Erfahrung im Verkauf",Detailhandel / Logistik,Oftringen,4665,171.79,25.45,23 Aug 2023,1
160,163,Koch/Köchin,Gelernt,"Personen mit eidgenössischem Fähigkeitsausweis (EFZ) als Koch/Köchin, einer mindestens dreijährigen beruflichen Grundbildung in der auszuübenden Tätigkeit oder Personen mit einer Attestlehre (EBA) und mindestens drei Jahren Berufspraxis in der auszuübenden Tätigkeit.","Koch gerne auch zur Festanstellung
Besonderheiten: Fischküche",Gastronomie / Hotel,Heiden,9405,665.0,35.0,23 Aug 2023,3
161,164,Koch/Köchin,Gelernt,"Personen mit eidgenössischem Fähigkeitsausweis (EFZ) als Koch/Köchin, einer mindestens dreijährigen beruflichen Grundbildung in der auszuübenden Tätigkeit oder Personen mit einer Attestlehre (EBA) und mindestens drei Jahren Berufspraxis in der auszuübenden Tätigkeit.","Büffet auffüllen, Mise en Place, Qualitätskontrolle",Gastronomie / Hotel,Zürich,8001,485.1,29.4,23 Aug 2023,2
162,165,Promoter/in (Berater/in),,,"Depuis 2011, WELO est une société offrant des solutions de marketing et event pour les entreprises, ainsi que des solutions éco-responsables aux particuliers et aux entreprises. Notre but est d’offrir des alternatives afin de limiter les impacts environnementaux grâce à des véhicules écologiques (Vélo-taxi, Vélo-Cargo et Tuktuk).

VOTRE MISSION: 
Au centre de Fribourg proposer des balades gratuites en vélo-taxi et faire la promotion d’un produit pour l'un de nos partenaire, en invitant le plus grand nombre de personnes à visiter leur succursale. 
Cette mission, qui comporte 2 vélotaxis, se déroulera dans deux lieux distincts de la ville. Vous distribuerez des flyers aux personnes dans la rue, en plus de proposer des petites courses en vélotaxi. 

OBLIGATOIRE 
Présentation soignée et être en possession d' un permis de conduire de la catégorie B ou A1 valable. 

VOTRE PROFIL :
Vous êtes communicatif(ve) et à l'aise dans le contact avec les personnes
Vous avez le flair pour la promotion de produits et services.
Vous possédez une bonne condition physique pour la conduite d’un vélo-taxi (avec assistance électrique)

IMPORTANT: 
1 heure d'introduction à la conduite du vélo-taxi aura lieu avant le début de la campagne (horaire à définir). 
Se présenter avec le permis de conduire.",Promotion / Event,Fribourg,1700,769.5,27.0,23 Aug 2023,6
163,166,Host/Hostess,,,"-Aufgabenbereich:
 -Proaktive Begrüssung der Kunden
 -Proaktiv auf Aktionen und Promotionen hinweisen
 -Kunden unserem Service Team zuweisen
-Profil:
 -sehr gute Deutschkenntnisse
 -Offen und kommunikativ
 -gepfelgtes Erscheinungsbild
 -speditiv
 -belastbar
-Dresscode:
 -Sauber und gepflegt
 -keine sichtbaren Fremdmarken
 - blaue Jeans
 - weisses T-Shirt",Promotion / Event,Solothurn,4500,60.3,24.12,23 Aug 2023,1
164,167,BäckerIn,Gelernt,"Du hast eine der folgenden Voraussetzungen: 1) ein eidgenössisches Fähigkeitszeugnis (EFZ) als BäckerIn, 2) eine abgeschlossene anerkannte Berufsausbildung von mindestens drei Jahren oder 3) ein eidgenössisches Berufsattest (EBA) mit mindestens drei Jahren Berufserfahrung in der Branche. Dein Abschluss muss in deinem Profil hochgeladen werden.","Schneiden von Quiche und Kuchen.
Produzieren von Biskuits.
Ware bereitstellen für unsere Aussenstellen.
Schicken an unser Buffet.",Gastronomie / Hotel,Zürich,8001,1904.0,32.0,23 Aug 2023,7
165,168,Logistiker/in,Ungelernt,"Personen mit Bereitschaft zu körperlicher Arbeit (z.B. Be-/Entladen von Lastwagen, Einpacken und Rüsten von Sendungen). Handwerkliches Geschick von Vorteil.","Tätigkeit: 
Sortieren von Paketen auf Ausliefertouren nach Tournummer",Promotion / Event,Dintikon,5606,506.25,27.0,23 Aug 2023,3
166,169,Logistiker/in,Ungelernt,"Personen mit Bereitschaft zu körperlicher Arbeit (z.B. Be-/Entladen von Lastwagen, Einpacken und Rüsten von Sendungen). Handwerkliches Geschick von Vorteil.","Tätigkeit: 
Kommissioniern nach Rüstlisten und PickbyVoice

Staplerausweis zwingend.",Promotion / Event,Dintikon,5606,155.25,27.0,23 Aug 2023,1
167,170,Service Gastronomie,Ungelernt,Servicemitarbeiter/in mit Freude am Bedienen und am Umgang mit Gästen. Teamfähigkeit ist Voraussetzung.,"-Getränke- und Speiseservice bei einem Anlass
-Abräumen
-Gästebetreuung
-Diverse Mise en Place Arbeiten
-Mithilfe in den anderen Abteilungen wenn notwendig
-Räumlichkeiten stellen und aufdecken

Wichtige Infos: 
Deutsch sprechen, Schweizerdeutsch verstehen.
Es gibt ein Spesenabzug für die Verpflegung.
CHF 2.00 für das Garderoben Kästli mitnehmen
Einsatz kann etwas kürzer oder länger dauern, bitte nötige Flexibilität mitbringen.
Passwort für die Gurtenbahn an der Kasse mitteilen , damit Ihr gratis fahren könnt: Coople
Die Gurtenbahn fährt alle 15 Minuten. Es gibt keine gratis Parkplatzmöglichkeiten. 
Einsatzbeginn= Umgezogen bereit für den Einsatz",Gastronomie / Hotel,Köniz,3084,228.76,24.08,23 Aug 2023,1
168,171,Fachmann/frau Gesundheit EFZ (angepasste Ausbildungen),Gelernt,Die Ausbildungsnachweise (Zertifikate / Diplome) müssen auf dem Coople-Account hinterlegt sein. Die NAREG-Nr. ist im Lebenslauf zu erwähnen.,"Fachliche Verantwortung, Medikamentöse, Behandlungspflege und pflegerische Unterstützung eines Pflegeteams",Gesundheitswesen,Immensee,6405,5504.0,43.0,23 Aug 2023,16
169,172,Logistiker/in,Ungelernt,"Personen mit Bereitschaft zu körperlicher Arbeit (z.B. Be-/Entladen von Lastwagen, Einpacken und Rüsten von Sendungen). Handwerkliches Geschick von Vorteil.","Tätigkeit: 
Sortieren von Paketen auf Ausliefertouren nach Tournummer",Promotion / Event,Dintikon,5606,506.25,27.0,23 Aug 2023,3
170,173,Pflegehelfer/in SRK,Ungelernt mit >20 Monaten Erfahrung,Das Zertifikat des Pflegehelferkurses muss auf dem Coople-Account hinterlegt sein. Der Nachweis über >20 Monate Praxiserfahrung in der auszuübenden Tätigkeit (20 Monate bei 100%-Beschäftigung) muss im CV aufgeführt sein.,"• Pflegen und Betreuen der Bewohnenden unter Berücksichtigung einer personenzentrierten Hal-tung
• Ausführen von logistischen und administrativen Aufgaben
• Eingehen auf die Wünsche und Gewohnheiten betagter und pflegebedürftiger Menschen
• Mitarbeit in der Alltagsgestaltung auf der Abteilung",Gesundheitswesen,Wettingen,5430,544.17,32.98,23 Aug 2023,2
171,174,Service Gastronomie,Gelernt,"Personen mit eidgenössischem Fähigkeitsausweis (EFZ) als Restaurationsfachmann/frau, einer mindestens dreijährigen beruflichen Grundbildung in der auszuübenden Tätigkeit oder Personen mit einer Attestlehre (EBA) und mindestens drei Jahren Berufspraxis in der auszuübenden Tätigkeit.",Apéro mit Häppchen und Getränken,Gastronomie / Hotel,Zürich,8049,248.0,32.0,23 Aug 2023,2
172,175,Personenwagenfahrer/in (bis 3.5T),,,"Im Kundenauftrag ahnden Sie Parkverstösse gegen die dort geltenden Vorschriften, Signalisationen und Markierungen. Darin eingeschlossen sind Parkkarten-, Parkscheiben- und Parkuhrenübertretungen. Zur Erleichterung Ihrer Arbeit steht Ihnen moderne Infrastruktur zur Verfügung. Der Bevölkerung stehen Sie kompetent mit Rat zur Seite. Sie stehen teilweise auch im direkten Kundenkontakt. In Ihrer neuen Funktion arbeiten Sie in einem dynamischen und abwechslungsreichen Umfeld und einem sehr motivierten Team. Ihre Tätigkeiten sind unter anderem folgende sein:

Kontrolle des ruhenden Verkehrs intern und extern (Parkdienst) auf privaten Parkplätzen und Arealen
Ausstellen von Umtriebsentschädigungen
Selbständiges Planen von Patrouillen
Patrouillen mit dem Auto

Voraussetzungen

Sie sind dynamisch, motiviert und haben eine Lehre mit EFZ abgeschlossen oder einen vergleichbaren Abschluss und ein gepflegtes und selbstsicheres Auftreten.

Eigenes Fahrzeug

Weitere Voraussetzungen für diese Stelle sind:

Sie sind eine starke, dynamische und belastbare Persönlichkeit
OBV, Türsteher und/oder Sicherheitsdiensterfahrung
Sie sind Schweizer Bürger oder Niederlassungsbewilligung «C»
einwandfreier Leumund und Strafregisterauszug
Sie sind im Besitz eines Führerausweises Kategorie «B»
Idealerweise Erfahrung im Parkdienst und Verkehrsdienst
Sie besitzen ein ausgeprägtes Verhandlungsgeschick
Sie haben eine exakte, selbständige und zuverlässige Arbeitsweise
Sie sind kundenorientiert und ein Teamplayer
Sie verfügen über sehr gute mündliche und schriftliche Deutschkenntnisse
Sie sind fähig mit dem Smartphone und modernen Applikationen zu arbeiten
Sie fühlen sich in der Öffentlichkeit wohl und können sich durchsetzen",Promotion / Event,Bülach,8180,382.5,25.5,23 Aug 2023,3
173,176,Koch/Köchin,Gelernt,"Personen mit eidgenössischem Fähigkeitsausweis (EFZ) als Koch/Köchin, einer mindestens dreijährigen beruflichen Grundbildung in der auszuübenden Tätigkeit oder Personen mit einer Attestlehre (EBA) und mindestens drei Jahren Berufspraxis in der auszuübenden Tätigkeit.","Herstellen der Speisen für unsere Gäste im à la carte Restaurant, Bankette und Seminare. 
Qualitätskontrolle der Warenlieferung,- Lagerung und der wirtschaftlichen Verarbeitung
Fach- und sachgerechter Umgang mit sämtlichen Küchengeräten und Maschinengeräten sowie deren Wartung und Pflege
Sicherstellung eines reibungslosen Küchen- und Serviceablaufs",Gastronomie / Hotel,Davos,7270,3150.0,35.0,23 Aug 2023,12
174,177,Service Gastronomie,Ungelernt,Servicemitarbeiter/in mit Freude am Bedienen und am Umgang mit Gästen. Teamfähigkeit ist Voraussetzung.,"Folgende Aufgaben warten auf dich:
- Du bist für die Sicherstellung des termingerechten Warenflusses zuständig
- Du kontrollierst die Lieferscheine anhand der Menge und Qualität der Produkte
- Du lagerst neu angelieferte Waren mit einem Datenerfassungs-/Scanning-Gerät in unserem Kommissionierlager ein
- Du kommissionierst sorgfältig und termingerecht die Kundenbestellungen für den Versand
- Die kommissionierten Kundenbestellungen kontrollierst du auf Korrektheit und verpackst sie nach den internen Richtlinien
- Einhalten von Ordnung, Arbeitssicherheit und Sauberkeit ist für dich selbstverständlich

Anforderungen:
- Du hast idealerweise schon erste Produktions- oder Logistikerfahrung und setzt dein kundenorientiertes Handeln in deinem Arbeitsalltag gezielt ein
- Gute Deutschkenntnisse in Wort und Schrift (mind. B1) und PC-Grundkenntnisse sind uns wichtig
- Körperliche Belastbarkeit und gute Kondition sollten gegeben sein. In unserem Lager kommen einige Laufkilometer am Tag zusammen und es sind mittelschwere Pakete zu tragen
- Da wir in zwei Schichten arbeiten, ist es wichtig, dass du flexibel und mobil bist. Schichtbereitschaft im wöchentlichen Wechsel, stellen für dich kein Problem dar. (Montag bis Samstag zwischen 05:00 Uhr und 23:00 Uhr)
- Bei erhöhten Arbeitsvolumen, sollten geplante Samstags- & Sonntagseinsätze für dich machbar sein
- Idealerweise besitzt du einen SUVA anerkannten Staplerausweis, damit du auch in unserem Grossteillager eingesetzt werden kannst
- Du bist im Besitz von eigenen Sicherheitsschuhen (mit Stahlkappe) oder gewillt, dir welche zu kaufen (Bsp. Dosenbach, Landi, etc.)",Gastronomie / Hotel,Wohlen,5610,7523.52,27.66,23 Aug 2023,34
175,178,Koch/Köchin,Gelernt,"Personen mit eidgenössischem Fähigkeitsausweis (EFZ) als Koch/Köchin, einer mindestens dreijährigen beruflichen Grundbildung in der auszuübenden Tätigkeit oder Personen mit einer Attestlehre (EBA) und mindestens drei Jahren Berufspraxis in der auszuübenden Tätigkeit.","Wofür bist du verantwortlich?

Du arbeitest auf allen Posten in der Küche (Produktion und à la carte)
Du erstellst das tägliche Mise-en-place
Du hältst die vorgegebenen Rezepturen genau ein
Du setzt die internen HACCP-Richtlinien konsequent um

Was bringst du mit?

Eine abgeschlossene Ausbildung als Köchin/Koch EFZ
Gute Deutschkenntnisse, Englischkenntnisse von Vorteil
Ein grosses Interesse an unseren vegetarischen & veganen Köstlichkeiten
Bereitschaft zu Früh- und Spätdiensten ohne Zimmerstunde
Eine qualitätsbewusste Persönlichkeit mit Eigeninitiative und Hygienebewusstsein",Gastronomie / Hotel,Zürich,8001,1200.0,32.0,23 Aug 2023,5
176,179,Service Gastronomie,Ungelernt,Servicemitarbeiter/in mit Freude am Bedienen und am Umgang mit Gästen. Teamfähigkeit ist Voraussetzung.,"Saison ist voll im Gange und wir suchen punktuell Unterstützung im Kiosk Flussbad Unterer Letten. Direkt an der Limmat im zweitältesten Bad der Stadt Zürich, wo du dich in der Pause abkühlen kannst. Wir sind ein junges, dynamisches Team mit einem coolen Frischeangebot und komplett pommesfrei.",Gastronomie / Hotel,Zürich,8037,506.25,27.0,23 Aug 2023,3
177,180,Fachmann/frau Gesundheit EFZ (angepasste Ausbildungen),Gelernt,Die Ausbildungsnachweise (Zertifikate / Diplome) müssen auf dem Coople-Account hinterlegt sein. Die NAREG-Nr. ist im Lebenslauf zu erwähnen.,Im Spätdienst sind Sie gemeinsam mit einer Assistenzperson für ca. 45 Bewohner/Innen auf 3 Abteilungen zuständig.,Gesundheitswesen,Bern,3013,528.0,33.0,23 Aug 2023,2
178,181,Service Gastronomie,Ungelernt mit >20 Monaten Erfahrung,Personen ohne eidgenössisches Fähigkeitszeugnis (EFZ) als Spezialist für Gastronomie mit mehr als 20 Monaten Erfahrung oder Personen mit eidgenössischem Berufsattest (EBA) und weniger als drei Jahren Berufserfahrung im Referenzsektor.,"Service bar, restaurant, terrasse. 

On est à Ste Croix , les",Gastronomie / Hotel,Bullet,1452,1820.0,28.0,23 Aug 2023,9
179,182,Spülküchen-Mitarbeiter/in mit Erfahrung,,,"Wir suchen kurzfristig ""Anzahl"" Plongemitarbeitende für unsere Badi Mythenquai: 

Profil: 
- Erste Erfahrung in der Gastronomie
- Deutschkenntnisse mind. B1 
- Selbständig, teamfähig und belastbar
- Freundlich und aufgestellt

Aufgaben:
-eigenständiges Arbeiten an der Plonge (Spülmaschine)
-allgemeine Reinigungsarbeiten

Wichtig
- Je nach Gästeaufkommen können die Einsatz- und Pausenzeiten variieren.",Gastronomie / Hotel,Zürich,8001,1822.5,24.3,23 Aug 2023,9
180,183,Spülküchen-Mitarbeiter/in mit Erfahrung,,,"Wir suchen kurzfristig ""Anzahl"" Plongemitarbeitende für unsere Badi Mythenquai: 

Profil: 
- Erste Erfahrung in der Gastronomie
- Deutschkenntnisse mind. B1 
- Selbständig, teamfähig und belastbar
- Freundlich und aufgestellt

Aufgaben:
-eigenständiges Arbeiten an der Plonge (Spülmaschine)
-allgemeine Reinigungsarbeiten

Wichtig
- Je nach Gästeaufkommen können die Einsatz- und Pausenzeiten variieren.",Gastronomie / Hotel,Zürich,8001,1822.5,24.3,23 Aug 2023,9
181,184,Pflegehelfer/in SRK,Ungelernt mit >20 Monaten Erfahrung,Das Zertifikat des Pflegehelferkurses muss auf dem Coople-Account hinterlegt sein. Der Nachweis über >20 Monate Praxiserfahrung in der auszuübenden Tätigkeit (20 Monate bei 100%-Beschäftigung) muss im CV aufgeführt sein.,"Aufgaben:
Pflege und Betreuung
- Unterstützen des diplomierten Pflegepersonals. Die Mitarbeit umfasst Tätigkeiten zu folgenden Aktivitäten des täglichen Lebens.
-Körperpflege und Unterstützung der Bewohner in den Aktivitäten des täglichen Lebens
- Geleistete Arbeiten in der Pflegedokumentation eintragen
- Begleiten der Bewohner zu verschiedenen Aktivitäten
- Ausführen von täglichen anfallenden hauswirtschaftlichen Arbeiten
Kommunikation und weitere Aufgaben
- Für ein angenehmes Arbeitsklima sorgen
- Teilnahme an den täglichen Rapporten
- Selbstständiges Holen und Weiterleiten von betriebsrelevanten Informationen
- Einhalten der geplanten Arbeitsabläufe, wenn nötig sinnvoll umdisponieren
- Beobachtete Veränderungen, Probleme oder Mitteilungen von Bewohnern unverzüglich an die vorgesetzte Stelle weiterleiten
- Einhalten und Umsetzen von Hygiene und Sicherheit
- Mitwirken bei Administration, Logistik und Zusammenarbeit",Gesundheitswesen,Altendorf,8852,149.1,31.39,23 Aug 2023,1
