,Unnamed: 0,Rank,Job role,Experience Level,Experience detail,Job description,Industry,City,Post Code,Pay total,Pay per hour,Start date,Shift,post_district,comment,country_code,region,town,lat,lng
467,246,249,Reinigungsmitarbeiter/in,Ungelernt,"Arbeitskraft für Reinigungsarbeiten (z.B. Office, Raumpflege etc.).","Wir suchen freundliche Gastgeber die den Gästebereich sauber halten, aufräumen, 
abwaschen und bei der Ausgabe von Speisen unterstützen.",Gastronomie / Hotel,Zürich-Flughafen,8058,771.2,24.1,24 Aug 2023,4,Zürich 58 Flughafen Fracht West,PO box only,CH,ZH,Zürich,47.4582165,8.5554755
468,247,250,Verkaufsmitarbeiter/in / Detailhandel,Gelernt,"Personen mit eidgenössischem Fähigkeitsausweis (EFZ) als Verkaufsmitarbeiter/in, einer mindestens dreijährigen beruflichen Grundbildung in der auszuübenden Tätigkeit oder Personen mit einer Attestlehre (EBA) und mindestens drei Jahren Berufspraxis in der auszuübenden Tätigkeit..","Bei erfolgreicher Zusammenarbeit sind auch zukünftig mehrere Einsätze möglich.

Tätigkeiten
• Sicherstellung eines bestmöglichen Kundenservice gemäß unseren Unternehmensstandards
• Ausführung einer optimalen Warenpräsentation in Rücksprache mit dem zuständigen Manager
• Sicherstellung der Übereinstimmung mit den Housekeeping Standards 
• Sicherstellen der Warenverfügbarkeit in Abstimmung mit dem zuständigen Manager
• Bearbeitung der Retouren und Kundenbeschwerden
• Sicherstellung des Kassaservices in Übereinstimmung mit den Unternehmensrichtlinien der Kassasicherheit
• Bearbeiten der ein- und ausgehenden Ware sowie sämtliche Lagerarbeiten
• Ausführung von Reduzierungen nach Vorgabe sowie die Sicherstellung einer optimalen Lagerorganisation inkl. Vorbereitung und Durchführung der Inventuren

Sonstige Pflichten
· Zusätzliche Aufgaben gemäss den Anweisungen des Managements",Detailhandel / Logistik,Spreitenbach,8957,726.91,29.37,24 Aug 2023,3,Spreitenbach,,CH,AG,Spreitenbach,47.4221702,8.3638854
469,248,251,Spülküchen-Mitarbeiter/in mit Erfahrung,,,"Geschirrreinigung, Küchenreinigung, Servieren am Buffet",Gastronomie / Hotel,Allschwil,4123,104.4,26.1,24 Aug 2023,1,Allschwil,,CH,BL,Allschwil,47.5528925,7.5433615
470,248,251,Spülküchen-Mitarbeiter/in mit Erfahrung,,,"Geschirrreinigung, Küchenreinigung, Servieren am Buffet",Gastronomie / Hotel,Allschwil,4123,104.4,26.1,24 Aug 2023,1,Allschwil 1,PO box only,CH,BL,Allschwil 1,47.552655,7.545528
471,248,251,Spülküchen-Mitarbeiter/in mit Erfahrung,,,"Geschirrreinigung, Küchenreinigung, Servieren am Buffet",Gastronomie / Hotel,Allschwil,4123,104.4,26.1,24 Aug 2023,1,Neuallschwil,,CH,BL,Allschwil,47.5582521,7.5454249
472,249,252,Reinigungsmitarbeiter/in,Ungelernt,"Arbeitskraft für Reinigungsarbeiten (z.B. Office, Raumpflege etc.).",Unterstützung Office Service,Gastronomie / Hotel,Bern,3073,67.5,27.0,24 Aug 2023,1,Gümligen,,CH,BE,Gümligen,46.93262,7.51048
473,249,252,Reinigungsmitarbeiter/in,Ungelernt,"Arbeitskraft für Reinigungsarbeiten (z.B. Office, Raumpflege etc.).",Unterstützung Office Service,Gastronomie / Hotel,Bern,3073,67.5,27.0,24 Aug 2023,1,Melchenbühl,,CH,BE,Gümligen,46.9393887,7.4925652
474,250,253,Koch/Köchin,Gelernt,"Personen mit eidgenössischem Fähigkeitsausweis (EFZ) als Koch/Köchin, einer mindestens dreijährigen beruflichen Grundbildung in der auszuübenden Tätigkeit oder Personen mit einer Attestlehre (EBA) und mindestens drei Jahren Berufspraxis in der auszuübenden Tätigkeit.","Zubereitung der Gerichte, Mise en place arbeiten, Unterstützung der Küchenmanschaft / der Einsatz kann + / - 1 Stunde variieren",Gastronomie / Hotel,Basel,4052,370.5,38.0,24 Aug 2023,1,Basel Zustellkreis,,CH,BS,Basel,47.5484185,7.6101654
475,251,254,Service Gastronomie,Ungelernt mit >20 Monaten Erfahrung,Personen ohne eidgenössisches Fähigkeitszeugnis (EFZ) als Spezialist für Gastronomie mit mehr als 20 Monaten Erfahrung oder Personen mit eidgenössischem Berufsattest (EBA) und weniger als drei Jahren Berufserfahrung im Referenzsektor.,Servicemitarbeiter im a la carte,Gastronomie / Hotel,Sigriswil,3655,854.0,28.0,24 Aug 2023,4,Sigriswil,,CH,BE,Sigriswil,46.7244695,7.7289982
476,252,255,Koch/Köchin,Ungelernt mit >20 Monaten Erfahrung,Personen ohne eidgenössisches Fähigkeitszeugnis (EFZ) als Koch mit mehr als 20 Monaten Erfahrung oder Personen mit eidgenössischem Berufsausbildungszertifikat (EBA) und weniger als drei Jahren Berufserfahrung.,"Unterstützung der beim A la carte service, Mise en place und allgemeinen Putzarbeiten",Gastronomie / Hotel,Zürich,8044,240.0,30.0,24 Aug 2023,1,Geeren,,CH,ZH,Gockhausen,47.3757434,8.6076722
477,252,255,Koch/Köchin,Ungelernt mit >20 Monaten Erfahrung,Personen ohne eidgenössisches Fähigkeitszeugnis (EFZ) als Koch mit mehr als 20 Monaten Erfahrung oder Personen mit eidgenössischem Berufsausbildungszertifikat (EBA) und weniger als drei Jahren Berufserfahrung.,"Unterstützung der beim A la carte service, Mise en place und allgemeinen Putzarbeiten",Gastronomie / Hotel,Zürich,8044,240.0,30.0,24 Aug 2023,1,Gockhausen,,CH,ZH,Gockhausen,47.38339,8.60009
478,252,255,Koch/Köchin,Ungelernt mit >20 Monaten Erfahrung,Personen ohne eidgenössisches Fähigkeitszeugnis (EFZ) als Koch mit mehr als 20 Monaten Erfahrung oder Personen mit eidgenössischem Berufsausbildungszertifikat (EBA) und weniger als drei Jahren Berufserfahrung.,"Unterstützung der beim A la carte service, Mise en place und allgemeinen Putzarbeiten",Gastronomie / Hotel,Zürich,8044,240.0,30.0,24 Aug 2023,1,Zürich 44 Zürichberg,,CH,ZH,Zürich,47.3743105,8.5569024
479,253,256,Service Gastronomie,Gelernt,"Personen mit eidgenössischem Fähigkeitsausweis (EFZ) als Restaurationsfachmann/frau, einer mindestens dreijährigen beruflichen Grundbildung in der auszuübenden Tätigkeit oder Personen mit einer Attestlehre (EBA) und mindestens drei Jahren Berufspraxis in der auszuübenden Tätigkeit.",Für einen Apéro von 70 Personen suche ich noch tatkräftige Unterstützung.,Gastronomie / Hotel,Winterthur,8400,288.0,32.0,24 Aug 2023,1,Winterthur,,CH,ZH,Winterthur,47.485687,8.7292922
480,254,257,Service Gastronomie,Ungelernt mit >20 Monaten Erfahrung,Personen ohne eidgenössisches Fähigkeitszeugnis (EFZ) als Spezialist für Gastronomie mit mehr als 20 Monaten Erfahrung oder Personen mit eidgenössischem Berufsattest (EBA) und weniger als drei Jahren Berufserfahrung im Referenzsektor.,Flying Dinner und Getränkeservice Catering Einsatz nicht im,Gastronomie / Hotel,Basel,4051,283.5,27.0,24 Aug 2023,1,Basel Zustellkreis,,CH,BS,Basel,47.553724,7.5860708
481,255,258,Spülküchen-Mitarbeiter/in mit Erfahrung,,,"Achtung Einsatz kann wetterbedingt und je nach Geschäftsgang, verkürzt sein oder länger dauern!
Für die Mithilfe in unserem Selbstbedienungs- in der Badi Heuried benötigen wir Officemitarbeiter/in für folgende Arbeiten:
Geschirr waschen, periodisches Reinigen unserer Tische im und auf der grossen Terrasse, allgemeine Reinigungsarbeiten und Schlussreinigung des Restaurants und Küche. Mithilfe in der warmen und kalten Küche.
Die deutsche Sprache muss fliessend beherrscht werden, weitere Sprachen von Vorteil.",Gastronomie / Hotel,Zürich,8055,175.0,25.0,24 Aug 2023,1,Zürich 55 Heuried,,CH,ZH,Zürich,47.3627973,8.4936631
482,256,259,Veranstaltungstechnik,Praxiserfahrung ohne Ausbildung <20 Monate,Erfahrung von weniger als 20 Monaten im Eventmanagement. Ohne Ausbildung.,,Promotion / Event,Bern,3014,203.68,25.46,24 Aug 2023,1,Bern Zustellkreis,,CH,BE,Bern,46.9639862,7.4610073
483,257,260,Host/Hostess,,,"-Aufgabenbereich:
 -Proaktive Begrüssung der Kunden
 -Proaktiv auf Memebership hinweisen
 -Kunden unserem Service Team zuweisen
-Profil:
 -sehr gute Deutschkenntnisse
 -Offen und kommunikativ
 -gepfelgtes Erscheinungsbild
 -speditiv
 -belastbar
-Dresscode:
 -Sauber und gepflegt 
 -Jeans tragen, Gelbes Shirt wird zur Verfügung gestellt.",Promotion / Event,Bern,3011,203.68,25.46,24 Aug 2023,2,Bern Zustellkreis,,CH,BE,Bern,46.949235,7.4439108
484,258,261,Verkaufsmitarbeiter/in / Detailhandel,Ungelernt,"Verkaufsmitarbeiter/in mit Freude am Verkauf und am Umgang mit Kunden. Erste Erfahrungen im Verkauf sind von Vorteil, aber nicht zwingend.",Aushilfe Verkauf,Detailhandel / Logistik,Thun,3600,50.0,25.0,24 Aug 2023,1,Thun,,CH,BE,Thun,46.7535189,7.622438
485,259,262,Service Gastronomie,Gelernt,"Personen mit eidgenössischem Fähigkeitsausweis (EFZ) als Restaurationsfachmann/frau, einer mindestens dreijährigen beruflichen Grundbildung in der auszuübenden Tätigkeit oder Personen mit einer Attestlehre (EBA) und mindestens drei Jahren Berufspraxis in der auszuübenden Tätigkeit.",Sie bedienen unsere Kunden in unserem Restaurant,Gastronomie / Hotel,Gampelen,3236,4800.0,30.0,24 Aug 2023,20,Gampelen,,CH,BE,Gampelen,47.014664,7.0578947
486,259,262,Service Gastronomie,Gelernt,"Personen mit eidgenössischem Fähigkeitsausweis (EFZ) als Restaurationsfachmann/frau, einer mindestens dreijährigen beruflichen Grundbildung in der auszuübenden Tätigkeit oder Personen mit einer Attestlehre (EBA) und mindestens drei Jahren Berufspraxis in der auszuübenden Tätigkeit.",Sie bedienen unsere Kunden in unserem Restaurant,Gastronomie / Hotel,Gampelen,3236,4800.0,30.0,24 Aug 2023,20,Witzwil,,CH,BE,Gampelen,47.014664,7.0578947
487,260,263,Koch/Köchin,Gelernt,"Personen mit eidgenössischem Fähigkeitsausweis (EFZ) als Koch/Köchin, einer mindestens dreijährigen beruflichen Grundbildung in der auszuübenden Tätigkeit oder Personen mit einer Attestlehre (EBA) und mindestens drei Jahren Berufspraxis in der auszuübenden Tätigkeit.","Liebe Gastronomen
Wir sind auf der Suche nach Verstärkung für ein Event am 24.08.2023. An diesem Tag richten wir ein grösseres Grill-Event aus, welches aus 10 Grill-Stationen, sowie 10 Getränke-Stationen besteht. Der Arbeitsbereich umfasst sowohl den Auf- und Abbau der Grillstationen, sowie das sicherstellen einen reibungslosen Servcieablauf, betreffen Speisen- und Getränkeservice. Das Speisenangebot an diesem Tag ist überschaubar, was uns ermöglicht in kürzester Zeit viele Kunden zu bewirtschaften.
Falls Ihr noch Fragen habt, kommt gerne auf uns zu.
Wir freuen uns auf ein tolles Event
Euer Küchenteam",Gastronomie / Hotel,Basel,4056,262.5,35.0,24 Aug 2023,1,Basel Zustellkreis,,CH,BS,Basel,47.5705771,7.5740645
488,261,264,Service Gastronomie,Gelernt,"Personen mit eidgenössischem Fähigkeitsausweis (EFZ) als Restaurationsfachmann/frau, einer mindestens dreijährigen beruflichen Grundbildung in der auszuübenden Tätigkeit oder Personen mit einer Attestlehre (EBA) und mindestens drei Jahren Berufspraxis in der auszuübenden Tätigkeit.",,Gastronomie / Hotel,Zumikon,8126,287.76,35.97,24 Aug 2023,1,Waltikon,,CH,ZH,Zumikon,47.336475,8.618455
489,261,264,Service Gastronomie,Gelernt,"Personen mit eidgenössischem Fähigkeitsausweis (EFZ) als Restaurationsfachmann/frau, einer mindestens dreijährigen beruflichen Grundbildung in der auszuübenden Tätigkeit oder Personen mit einer Attestlehre (EBA) und mindestens drei Jahren Berufspraxis in der auszuübenden Tätigkeit.",,Gastronomie / Hotel,Zumikon,8126,287.76,35.97,24 Aug 2023,1,Zumikon,,CH,ZH,Zumikon,47.3298953,8.623969
490,262,265,Promoter/in (Berater/in),,,"Die Aufgabe besteht darin, verschiedene POS-Geschäfte zu besuchen, die Hostessen vor Ort zu ""überprüfen"" und ein entsprechendes Online-Formular auszufüllen. 
Es gibt eine einmalige Einführung durch ein Online-Briefing, Zeitaufwand ca. 1 Stunde, gefolgt von einem persönlichen Briefing. Der Termin wird nach der Einstellung vereinbart.
Die Person muss in der Stadt Zürich wohnhaft sein.",Promotion / Event,Zürich,8001,405.0,27.0,24 Aug 2023,3,Zürich Zustellkreis,,CH,ZH,Zürich,47.3741561,8.5396323
491,263,266,Service Gastronomie,Ungelernt,Servicemitarbeiter/in mit Freude am Bedienen und am Umgang mit Gästen. Teamfähigkeit ist Voraussetzung.,"-Getränke- und Speiseservice bei einem Anlass
-Abräumen
-Gästebetreuung
-Diverse Mise en Place Arbeiten
-Mithilfe in den anderen Abteilungen wenn notwendig
-Räumlichkeiten stellen und aufdecken

Wichtige Infos: 
Deutsch sprechen, Schweizerdeutsch verstehen.
Es gibt ein Spesenabzug für die Verpflegung.
CHF 2.00 für das Garderoben Kästli mitnehmen
Einsatz kann etwas kürzer oder länger dauern, bitte nötige Flexibilität mitbringen.
Passwort für die Gurtenbahn an der Kasse mitteilen , damit Ihr gratis fahren könnt: Coople
Die Gurtenbahn fährt alle 15 Minuten. Es gibt keine gratis Parkplatzmöglichkeiten. 
Einsatzbeginn= Umgezogen bereit für den Einsatz",Gastronomie / Hotel,Köniz,3084,246.82,24.08,24 Aug 2023,1,Gurten Kulm,,CH,BE,Wabern,46.9172619,7.4437906
492,263,266,Service Gastronomie,Ungelernt,Servicemitarbeiter/in mit Freude am Bedienen und am Umgang mit Gästen. Teamfähigkeit ist Voraussetzung.,"-Getränke- und Speiseservice bei einem Anlass
-Abräumen
-Gästebetreuung
-Diverse Mise en Place Arbeiten
-Mithilfe in den anderen Abteilungen wenn notwendig
-Räumlichkeiten stellen und aufdecken

Wichtige Infos: 
Deutsch sprechen, Schweizerdeutsch verstehen.
Es gibt ein Spesenabzug für die Verpflegung.
CHF 2.00 für das Garderoben Kästli mitnehmen
Einsatz kann etwas kürzer oder länger dauern, bitte nötige Flexibilität mitbringen.
Passwort für die Gurtenbahn an der Kasse mitteilen , damit Ihr gratis fahren könnt: Coople
Die Gurtenbahn fährt alle 15 Minuten. Es gibt keine gratis Parkplatzmöglichkeiten. 
Einsatzbeginn= Umgezogen bereit für den Einsatz",Gastronomie / Hotel,Köniz,3084,246.82,24.08,24 Aug 2023,1,Wabern,,CH,BE,Wabern,46.925596,7.4509358
493,264,267,Logistiker/in,Ungelernt,"Personen mit Bereitschaft zu körperlicher Arbeit (z.B. Be-/Entladen von Lastwagen, Einpacken und Rüsten von Sendungen). Handwerkliches Geschick von Vorteil.","we are moving our small warehouse.
Would need your help to carry cartons from our office 1F to truck.
Should be able to carry 10kgs cartons.",Promotion / Event,Küsnacht,8700,26.0,26.0,24 Aug 2023,1,Goldbach ZH,,CH,ZH,Küsnacht ZH,47.3184279,8.5927209
494,264,267,Logistiker/in,Ungelernt,"Personen mit Bereitschaft zu körperlicher Arbeit (z.B. Be-/Entladen von Lastwagen, Einpacken und Rüsten von Sendungen). Handwerkliches Geschick von Vorteil.","we are moving our small warehouse.
Would need your help to carry cartons from our office 1F to truck.
Should be able to carry 10kgs cartons.",Promotion / Event,Küsnacht,8700,26.0,26.0,24 Aug 2023,1,Itschnach,,CH,ZH,Küsnacht ZH,47.3184279,8.5927209
495,264,267,Logistiker/in,Ungelernt,"Personen mit Bereitschaft zu körperlicher Arbeit (z.B. Be-/Entladen von Lastwagen, Einpacken und Rüsten von Sendungen). Handwerkliches Geschick von Vorteil.","we are moving our small warehouse.
Would need your help to carry cartons from our office 1F to truck.
Should be able to carry 10kgs cartons.",Promotion / Event,Küsnacht,8700,26.0,26.0,24 Aug 2023,1,Küsnacht ZH,,CH,ZH,Küsnacht ZH,47.3184279,8.5927209
496,265,268,Promoter/in (Berater/in),,,"Wir sind auf der Suche nach motivierten und zuverlässigen Promotern/innen, für eine Verkaufspromotion für nikotinhaltige Produkte.

Anforderungen: Du musst fliessend Deutsch sprechen
Mindestalter: 21 Jahre
Schulung: Vor dem Einsatz ist eine obligatorische Schulung abzuschliessen (wird nach dem ersten Einsatz ausbezahlt) 
Reporting: Es gibt ein Reporting auszufüllen, vor, während und nach deiner Schicht
Datenerfassung: Die Daten der Kunden sind zu erfassen

Wir freuen uns auf deine Bewerbung.",Promotion / Event,Volketswil,8604,208.0,26.0,24 Aug 2023,2,Hegnau,,CH,ZH,Volketswil,47.3895367,8.6738494
497,265,268,Promoter/in (Berater/in),,,"Wir sind auf der Suche nach motivierten und zuverlässigen Promotern/innen, für eine Verkaufspromotion für nikotinhaltige Produkte.

Anforderungen: Du musst fliessend Deutsch sprechen
Mindestalter: 21 Jahre
Schulung: Vor dem Einsatz ist eine obligatorische Schulung abzuschliessen (wird nach dem ersten Einsatz ausbezahlt) 
Reporting: Es gibt ein Reporting auszufüllen, vor, während und nach deiner Schicht
Datenerfassung: Die Daten der Kunden sind zu erfassen

Wir freuen uns auf deine Bewerbung.",Promotion / Event,Volketswil,8604,208.0,26.0,24 Aug 2023,2,Kindhausen ZH,,CH,ZH,Volketswil,47.40634,8.6808
498,265,268,Promoter/in (Berater/in),,,"Wir sind auf der Suche nach motivierten und zuverlässigen Promotern/innen, für eine Verkaufspromotion für nikotinhaltige Produkte.

Anforderungen: Du musst fliessend Deutsch sprechen
Mindestalter: 21 Jahre
Schulung: Vor dem Einsatz ist eine obligatorische Schulung abzuschliessen (wird nach dem ersten Einsatz ausbezahlt) 
Reporting: Es gibt ein Reporting auszufüllen, vor, während und nach deiner Schicht
Datenerfassung: Die Daten der Kunden sind zu erfassen

Wir freuen uns auf deine Bewerbung.",Promotion / Event,Volketswil,8604,208.0,26.0,24 Aug 2023,2,Volketswil,,CH,ZH,Volketswil,47.391014,8.6757477
499,265,268,Promoter/in (Berater/in),,,"Wir sind auf der Suche nach motivierten und zuverlässigen Promotern/innen, für eine Verkaufspromotion für nikotinhaltige Produkte.

Anforderungen: Du musst fliessend Deutsch sprechen
Mindestalter: 21 Jahre
Schulung: Vor dem Einsatz ist eine obligatorische Schulung abzuschliessen (wird nach dem ersten Einsatz ausbezahlt) 
Reporting: Es gibt ein Reporting auszufüllen, vor, während und nach deiner Schicht
Datenerfassung: Die Daten der Kunden sind zu erfassen

Wir freuen uns auf deine Bewerbung.",Promotion / Event,Volketswil,8604,208.0,26.0,24 Aug 2023,2,Zimikon,,CH,ZH,Volketswil,47.391014,8.6757477
500,266,269,Promoter/in (Berater/in),,,"Wir sind auf der Suche nach motivierten und zuverlässigen Promotern/innen, für eine Verkaufspromotion für nikotin- und tabakhaltige Produkte.

Anforderungen: Du musst fliessend Deutsch sprechen
Mindestalter: 21 Jahre
Schulung: Vor dem Einsatz ist eine obligatorische Schulung abzuschliessen (wird nach dem ersten Einsatz ausbezahlt) 
Reporting: Es gibt ein Reporting auszufüllen, vor, während und nach deiner Schicht
Datenerfassung: Die Daten der Kunden sind zu erfassen

Wir freuen uns auf deine Bewerbung.",Promotion / Event,Zürich,8045,52.0,26.0,24 Aug 2023,1,Zürich 45 Giesshübel,,CH,ZH,Zürich,47.3575524,8.5200813
501,267,270,Service Gastronomie,Ungelernt,Servicemitarbeiter/in mit Freude am Bedienen und am Umgang mit Gästen. Teamfähigkeit ist Voraussetzung.,"Ein Event oder eine Hochzeit steht an. Es gibt so vieles an was man denken muss. Wir bieten Ihnen den gesamten Rundum Service an. Aus der Küche bis zur Eventtechnik! Ihr Vorteil, eine Ansprechperson. Komplett sorgenfrei durch den Event von A-Z!
Frisches Zubereiten des Wunschmenü’s / Service- und Eventpersonal / Getränke & Weinlieferung / Eventtechnik & Beleuchtng / Preise variieren je nach Saisonalität und Menüauswahl.

Es geht um ein Catering von 45 Personen im Raum Bern mit einem lockeren Apero",Gastronomie / Hotel,Köniz,3098,175.5,27.0,24 Aug 2023,1,Köniz,,CH,BE,Köniz,46.910874,7.4148002
502,267,270,Service Gastronomie,Ungelernt,Servicemitarbeiter/in mit Freude am Bedienen und am Umgang mit Gästen. Teamfähigkeit ist Voraussetzung.,"Ein Event oder eine Hochzeit steht an. Es gibt so vieles an was man denken muss. Wir bieten Ihnen den gesamten Rundum Service an. Aus der Küche bis zur Eventtechnik! Ihr Vorteil, eine Ansprechperson. Komplett sorgenfrei durch den Event von A-Z!
Frisches Zubereiten des Wunschmenü’s / Service- und Eventpersonal / Getränke & Weinlieferung / Eventtechnik & Beleuchtng / Preise variieren je nach Saisonalität und Menüauswahl.

Es geht um ein Catering von 45 Personen im Raum Bern mit einem lockeren Apero",Gastronomie / Hotel,Köniz,3098,175.5,27.0,24 Aug 2023,1,Schliern b. Köniz,,CH,BE,Schliern b. Köniz,46.91008,7.4150876
503,268,271,Service Gastronomie,Ungelernt,Servicemitarbeiter/in mit Freude am Bedienen und am Umgang mit Gästen. Teamfähigkeit ist Voraussetzung.,"Wir suchen motivierte, freundliche Servicemitarbeitende für einen Business Anlass, welche Spass an der Arbeit haben!

Anlass: Apéro und Flying Dinner

Gästeanzahl: 30 Gäste

Erwartungen an dich: Pünktliches Erscheinen und bring deine Motivation mit.

Endzeiten können sich je nach Anlasssituation nach vorne oder nach hinten verschieben. Wir bitten um Flexibilität. 

Deine Erscheinung im Service bei 
 legt sehr viel Wert auf ein gepflegtes Erscheinungsbild der Mitarbeitenden.
Männer sollten korrekt frisiert und sauber rasiert sein, Frauen binden lange Haare zusammen
und sind dezent geschminkt. Grosser, auffälliger Schmuck, sowie sichtbare Tattoos und
Pircings sind nicht erlaubt!
Schuhe sind schwarz, geschlossen und keine Turnschuhe.
Hosen sind ebenfalls schwarz und klassisch geschnitten, keine schwarzen Jeans. (ohne
Löcher), bitte schwarze Socken/Strümpfe anziehen.
Bitte ein weisses Unterhemd anziehen.

Blusen/ Hemden (weiss oder beige) bekommst du von uns gestellt, sowie eine passende
Latzschürze.",Gastronomie / Hotel,Ennetbaden,5408,189.0,27.0,24 Aug 2023,1,Ennetbaden,,CH,AG,Ennetbaden,47.4795038,8.3143249
504,269,272,Promoter/in (Berater/in),,,"Wir sind auf der Suche nach motivierten und zuverlässigen Promotern/innen, für eine Verkaufspromotion für nikotin- und tabakhaltige Produkte.

Anforderungen: Du musst fliessend Deutsch sprechen
Mindestalter: 21 Jahre
Schulung: Vor dem Einsatz ist eine obligatorische Schulung abzuschliessen (wird nach dem ersten Einsatz ausbezahlt) 
Reporting: Es gibt ein Reporting auszufüllen, vor, während und nach deiner Schicht
Datenerfassung: Die Daten der Kunden sind zu erfassen

Wir freuen uns auf deine Bewerbung.",Promotion / Event,Bern,3027,520.0,26.0,24 Aug 2023,5,Bern 27 Bethlehem,,CH,BE,Bern,46.947301,7.389627
505,269,272,Promoter/in (Berater/in),,,"Wir sind auf der Suche nach motivierten und zuverlässigen Promotern/innen, für eine Verkaufspromotion für nikotin- und tabakhaltige Produkte.

Anforderungen: Du musst fliessend Deutsch sprechen
Mindestalter: 21 Jahre
Schulung: Vor dem Einsatz ist eine obligatorische Schulung abzuschliessen (wird nach dem ersten Einsatz ausbezahlt) 
Reporting: Es gibt ein Reporting auszufüllen, vor, während und nach deiner Schicht
Datenerfassung: Die Daten der Kunden sind zu erfassen

Wir freuen uns auf deine Bewerbung.",Promotion / Event,Bern,3027,520.0,26.0,24 Aug 2023,5,Riedern b. Bern,,CH,BE,Bern,46.95018,7.36588
506,270,273,Promoter/in (Berater/in),,,"Wir sind auf der Suche nach motivierten und zuverlässigen Promotern/innen, für eine Verkaufspromotion für nikotin- und tabakhaltige Produkte.

Anforderungen: Du musst fliessend Deutsch sprechen
Mindestalter: 21 Jahre
Schulung: Vor dem Einsatz ist eine obligatorische Schulung abzuschliessen (wird nach dem ersten Einsatz ausbezahlt) 
Reporting: Es gibt ein Reporting auszufüllen, vor, während und nach deiner Schicht
Datenerfassung: Die Daten der Kunden sind zu erfassen

Wir freuen uns auf deine Bewerbung.",Promotion / Event,Volketswil,8604,208.0,26.0,24 Aug 2023,2,Hegnau,,CH,ZH,Volketswil,47.3895367,8.6738494
507,270,273,Promoter/in (Berater/in),,,"Wir sind auf der Suche nach motivierten und zuverlässigen Promotern/innen, für eine Verkaufspromotion für nikotin- und tabakhaltige Produkte.

Anforderungen: Du musst fliessend Deutsch sprechen
Mindestalter: 21 Jahre
Schulung: Vor dem Einsatz ist eine obligatorische Schulung abzuschliessen (wird nach dem ersten Einsatz ausbezahlt) 
Reporting: Es gibt ein Reporting auszufüllen, vor, während und nach deiner Schicht
Datenerfassung: Die Daten der Kunden sind zu erfassen

Wir freuen uns auf deine Bewerbung.",Promotion / Event,Volketswil,8604,208.0,26.0,24 Aug 2023,2,Kindhausen ZH,,CH,ZH,Volketswil,47.40634,8.6808
508,270,273,Promoter/in (Berater/in),,,"Wir sind auf der Suche nach motivierten und zuverlässigen Promotern/innen, für eine Verkaufspromotion für nikotin- und tabakhaltige Produkte.

Anforderungen: Du musst fliessend Deutsch sprechen
Mindestalter: 21 Jahre
Schulung: Vor dem Einsatz ist eine obligatorische Schulung abzuschliessen (wird nach dem ersten Einsatz ausbezahlt) 
Reporting: Es gibt ein Reporting auszufüllen, vor, während und nach deiner Schicht
Datenerfassung: Die Daten der Kunden sind zu erfassen

Wir freuen uns auf deine Bewerbung.",Promotion / Event,Volketswil,8604,208.0,26.0,24 Aug 2023,2,Volketswil,,CH,ZH,Volketswil,47.391014,8.6757477
509,270,273,Promoter/in (Berater/in),,,"Wir sind auf der Suche nach motivierten und zuverlässigen Promotern/innen, für eine Verkaufspromotion für nikotin- und tabakhaltige Produkte.

Anforderungen: Du musst fliessend Deutsch sprechen
Mindestalter: 21 Jahre
Schulung: Vor dem Einsatz ist eine obligatorische Schulung abzuschliessen (wird nach dem ersten Einsatz ausbezahlt) 
Reporting: Es gibt ein Reporting auszufüllen, vor, während und nach deiner Schicht
Datenerfassung: Die Daten der Kunden sind zu erfassen

Wir freuen uns auf deine Bewerbung.",Promotion / Event,Volketswil,8604,208.0,26.0,24 Aug 2023,2,Zimikon,,CH,ZH,Volketswil,47.391014,8.6757477
510,271,274,Promoter/in (Berater/in),,,"Wir sind auf der Suche nach motivierten und zuverlässigen Promotern/innen, für eine Verkaufspromotion für nikotin- und tabakhaltige Produkte.

Anforderungen: Du musst fliessend Deutsch sprechen
Mindestalter: 21 Jahre
Schulung: Vor dem Einsatz ist eine obligatorische Schulung abzuschliessen (wird nach dem ersten Einsatz ausbezahlt) 
Reporting: Es gibt ein Reporting auszufüllen, vor, während und nach deiner Schicht
Datenerfassung: Die Daten der Kunden sind zu erfassen

Wir freuen uns auf deine Bewerbung.",Promotion / Event,Thun,3604,208.0,26.0,24 Aug 2023,2,Thun 4 Strättligen Markt,,CH,BE,Thun,46.7607209,7.6283582
